timestamp,minute,alive,workspaces,panes,paramux_mb,children,child_mb,notify_cycles
2026-07-20T19:34:09,1,True,1,0,398.3,22,169.2,140
2026-07-20T19:35:07,2,True,1,0,476.2,28,215.3,264
